"","id","bloque","defi_estim","estim","num_estim","error","cong","latencia"
"1113",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",12,0,0,545
"1114",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Deshonesta",13,0,0,676
"1115",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",14,0,0,784
"1116",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",15,0,0,611
"1117",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",16,1,0,744
"1118",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Alegre",17,0,0,848
"1119",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",18,0,0,1033
"1120",9,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Alegre",19,0,0,842
"1121",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",0,0,0,1529
"1122",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",1,0,0,1268
"1123",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",2,0,0,525
"1124",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Deshonesta",3,0,0,563
"1125",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",4,1,0,1377
"1126",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Alegre",5,0,0,1116
"1127",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",6,0,0,435
"1128",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",7,0,0,843
"1129",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",8,0,0,613
"1130",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Aburrida",9,0,0,655
"1131",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",10,0,0,582
"1132",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Desagradable",11,0,0,516
"1133",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",12,0,0,561
"1134",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Amistosa",13,0,0,649
"1135",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",14,1,0,853
"1136",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Deshonesta",15,0,0,713
"1137",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",16,1,0,1007
"1138",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Comprometida",17,0,0,717
"1139",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",18,1,0,1784
"1140",9,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",19,0,0,1239
"1141",9,"5","Coca Cola,Pepsi","Foto Pepsi",0,0,0,1942
